Part,Title,Chapter,Section,Subsection,Article,Hyperlink,Content,Annex,Article_number
PART ONE: GENERAL PROVISIONS,,,,,,,,,
,"TITLE I: SUBJECT MATTER, SCOPE AND DEFINITIONS",,,,,,,,
,,,,,Article 1: Scope,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/605,This Regulation lays down uniform rules concerning general prudential requirements that institutions supervised under Directive 2013/36/EU shall comply with in relation to the following items:,,1
,,,,,Article 1: Scope,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/605,"(a) own funds requirements relating to entirely quantifiable, uniform and standardised elements of credit risk, market risk, operational risk and settlement risk;",,1
,,,,,Article 1: Scope,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/605,(b) requirements limiting large exposures;,,1
,,,,,Article 1: Scope,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/605,"(c) after the delegated act referred to in Article 460 has entered into force, liquidity requirements relating to entirely quantifiable, uniform and standardised elements of liquidity risk;",,1
,,,,,Article 1: Scope,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/605,"(d) reporting requirements related to points (a), (b) and (c) and to leverage;",,1
,,,,,Article 1: Scope,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/605,(e) public disclosure requirements. This Regulation does not govern publication requirements for competent authorities in the field of prudential regulation and supervision of institutions as set out in Directive 2013/36/EU.,,1
,,,,,Article 2: Supervisory powers,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/607,"For the purposes of ensuring compliance with this Regulation, competent authorities shall have the powers and shall follow the procedures set out in Directive 2013/36/EU.",,2
,,,,,Article 3: Application of stricter requirements by institutions,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/609,"This Regulation shall not prevent institutions from holding own funds and their components in excess of, or applying measures that are stricter than those required by this Regulation.",,3
,,,,,Article 4: Definitions,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/2404,"1. For the purposes of this Regulation, the following definitions shall apply:",,4
,,,,,Article 4: Definitions,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/2404,"(1) ""credit institution"" means an undertaking the business of which is to take deposits or other repayable funds from the public and to grant credits for its own account;",,4
,,,,,Article 4: Definitions,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/2404,"(2) ""investment firm"" means a person as defined in point (1) of Article 4(1) of Directive 2004/39/EC, which is subject to the requirements imposed by that Directive, excluding the following:",,4
,,,,,Article 4: Definitions,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/2404,(a) credit institutions;,,4
,,,,,Article 4: Definitions,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/2404,(b) local firms;,,4
,,,,,Article 4: Definitions,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/2404,"(c) firms which are not authorised to provide the ancillary service referred to in point (1) of Section B of Annex I to Directive 2004/39/EC, which provide only one or more of the investment services and activities listed in points 1, 2, 4 and 5 of Section A of Annex I to that Directive, and which are not permitted to hold money or securities belonging to their clients and which for that reason may not at any time place themselves in debt with those clients;",,4
,,,,,Article 4: Definitions,https://eba.europa.eu/regulation-and-policy/single-rulebook/interactive-single-rulebook/2404,"(3) ""institution"" means a credit institution or an investment firm;",,4
