Topic,Chapter,Section,Subsection,Article,Content
,1 Scope of the credit risk chapter,,,,
,,,,1,"The purpose of this chapter is to provide transparency on how the ECB understands a number of topics related to internal models used for the IRB approach, including an initial section covering data maintenance for this approach. It is important to note that this chapter does not aim to cover exhaustively all topics of the CRR for the IRB approach that could be subject to review during internal model investigations. On these selected topics, the chapter is aligned with the EBA GL on PD and LGD."
,2 Data maintenance for the IRB approach,,,,
,,2.1 Relevant regulatory references,,,
,,,,2,"In accordance with Article 144(1) of the CRR, an institution's systems for the management and rating of credit risk exposures must be sound and implemented with integrity. In particular, the institution must collect and store all relevant data to provide effective support to its credit risk measurement and management processes. The ECB understands that, in order to comply with these requirements, institutions should deploy robust, well-documented and adequately tested IT systems, together with sound data management practices."
,,,,3,"Consequently, this section of the guide sets out the principles regarding the following elements for the management of IRB data: (a) IT systems: infrastructure and implementation testing; (b) policies, roles and responsibilities in data processing and data quality management; (c) components of the data quality management framework."
,,2.2 IT systems: infrastructure and implementation testing,,,
,,,2.2.1 Infrastructure,,
,,,,4,"Sound and robust IT infrastructures play an essential role in supporting the institution's rating systems. In addition, and in accordance with Article 175(1) of the CRR, institutions must document the design and operational details of their rating systems."
,,,,5,"With regard to the soundness and robustness of institutions' IT infrastructure, the ECB considers that Article 78(2) and (3) of the Final Draft RTS on assessment methodology for IRB provides a good understanding of the elements that institutions should take into account in order to comply with the data-related requirements of the CRR."
,,,,6,"Furthermore, to comply with the documentation requirements for the rating systems as established under Article 144(1)(e) and Article 175(1) of the CRR, it is the ECB's view that institutions should document and keep an updated register of all current and past versions of the following elements of a rating system: (a) the model's data flow (from data entry to reporting and for both historical data and current exposure data), identifying the relevant workflows and procedures relating to data extraction, data collection, data storage and data transformations; (b) the relevant sources of data and the global map of IT systems and databases involved in the calculation systems used for the purposes of the IRB approach; (c) the relevant functional specification of IT systems and databases, including their size, date of construction and data dictionaries, specifying the content of the fields and of the different valid data values that could be inserted in them, with clear definitions of data items; (d) the relevant technical specification of IT systems and databases, including the type of database, tables, database management system, database architecture, and data models given in any standard data modelling notation; (e) the audit trail for critical IT systems and databases. To allow an independent knowledgeable third party to obtain a detailed outline of the different IT elements of the rating systems, the documentation produced by the institution should be clear and understandable. To comply with the requirement to document its rating system and the rationale for its design, the institution should keep the register of all rating systems, including all current and past versions of rating systems, updated for a period of at least three years and, whenever necessary, an extended period beyond that. This is also reflected in Article 33(1) of the Final Draft RTS on assessment methodology for IRB. In any case, the institution should ensure that the elements mentioned in paragraph 6(a) to (e) for the current rating system are adequately recorded in the register and enable a clear understanding of all relevant data of the current rating system that must be stored by the institution."
,,,2.2.2 Implementation testing,,
,,,,7,"In order to ensure the integrity and robustness of IT systems and in particular that, in terms of IT, the implementation of the models is successful and errorfree, institutions should have in place a consistent process for testing the relevant IRB systems and applications upon first implementation and on an ongoing basis. This IT-testing process should be clearly defined and documented in an organisation-wide policy and procedure."
,,,,8,"To achieve its objective the policy should consider all potential events that should trigger a testing procedure and their impact on the tests to be conducted. The trigger events that should be considered include: software releases or material IT-related changes, regulatory changes, model methodology changes and the extension of the range of application of a rating system."
,,,,9,"IT implementation tests to be considered include the following: (a) unit/component/module tests; (b) integration tests (of units and between systems); (c) system tests (this includes functionality, performance - in normal and stress scenarios and security and portability tests); (d) user acceptance testing (functional testing); (e) regression testing."
,,,,10,"In principle, the unit(s) responsible for performing the implementation tests should be clearly identified and the results of the tests should be documented. It is the ECB's view that as a general rule institutions should develop a standardised format for the documentation of test results."
,,"2.3 Policies, roles and responsibilities in data processing and data quality management",,,
,,,,11,"For institutions to be able to comply with the requirement to collect and store all relevant data established under Article 144(1)(d) of the CRR, it is the ECB's understanding that policies and rules on data management should be defined at group level for both of the following aspects: data processing (i.e. data collection, storage, validation, migration, actualisation and use), and data quality management (see Section 2.4 of this chapter)."
,,,,12,"As for data processing, and in particular with regard to manual interventions and data transfers, the following principles should be considered: (a) to ensure that all data transformations are traceable and controlled, general guidelines and rules should be clearly formalised with regard to manual interventions within the data processing; (b) to ensure timeliness and accountability, all data transfers should be formally agreed upon (for example by means of service level agreements) by data providers and data users (for both outsourced and in-house processes)."
,,,,13,"To ensure the integrity of the data processes, the policies and rules on data management should clearly set out the relevant data governance arrangements. It is also expected that these policies and rules will specify the different roles and responsibilities assigned to data management. These include data quality roles and responsibilities for both business owners and IT functions and data and systems ownership throughout the entire credit risk modelling life cycle (including all IT systems used). These policies should take into account the following principles. (a) The responsibilities of business owners include: (i) ensuring data are correctly entered, kept up-to-date and aligned with the institution's data definitions; (ii) ensuring that data aggregation capabilities and reporting practices are consistent with the institution's policies (b) IT functions are responsible for supporting the operation of the systems for data collection, processing, transformation and storage during the entire life cycle of the data. (c) Different business owners and IT systems owners may be appointed throughout the data life cycle. However, each data source, IT system and process step should have an assigned business owner and/or IT systems owner that can be formally identified."
,,2.4 Data quality management framework,,,
,,,,14,"Institutions must have in place a process for vetting data inputs into the model. This must include an assessment of the accuracy, completeness and appropriateness of the data. To comply with this requirement and to ensure the quality of the data used for credit risk measurement and management processes, it is the ECB's view that institutions should establish and implement an effective data quality management framework that is formalised in a set of policies and procedures. This framework should be applicable to all data used in IRB-related processes, i.e. internal data, external data and pooled data, if any. In addition, it should ensure that reliable risk information is available to enable an institution's risk profile to be assessed accurately and drive sound decision-making within the institution and by external stakeholders, including competent authorities."
,,,,15,"The ECB considers that the data quality management framework is effective when it encompasses the following components: (a) sound underlying governance principles (see Section 2.4.1 of this chapter), particularly those relating to the allocation and fulfilment of roles and responsibilities for the management of data quality in a manner that ensures that data quality management activities are independent of data processing activities; (b) a description of the scope in terms of risk data coverage (see Section 2.4.2); (c) data quality standards covering all relevant data quality dimensions, i.e. completeness, accuracy, consistency, timeliness, uniqueness, validity, availability and traceability (see Section 2.4.3); (d) consistent criteria and a systematic metrics approach to assess compliance with data quality standards; this should be supported by sufficient data quality controls along the entire IRB data chain (see Section 2.4.4); (e) procedures for constantly assessing and improving the quality of data (see Section 2.4.5); (f) reporting procedures on data quality allowing for sufficient understanding of the quality of the data supporting the IRB models (see Section 2.4.6). The following sections further develop the above-mentioned elements."
,,,2.4.1 Governance principles for the data quality management framework,,
,,,,16,"The data quality management framework: (a) should be approved by the institution's management body or a designated committee thereof and senior management as part of their responsibilities; (b) should be distributed throughout the organisation to the relevant staff; (c) should be regularly assessed in order to verify its adequacy, and be updated and improved whenever necessary; (d) should be subject to regular review by the internal audit function or another comparable independent auditing unit."
,,,,17,"The roles of the different units, internal bodies and staff involved in the data quality management process should be defined in such a way as to ensure that the data handling process is sufficiently independent of the data quality management process."
