Chapter,Section,Article,Paragraph
,,,"0 0 FINAL Draft RTS on the specification of the assessment methodology for competent authoritiesregarding compliance of an institution with the requirementsto use the IRB Approach in accordance with Articles 144(2), 173(3) and 180(3)(b) of Regulation (EU) No 575/2013 COMMISSION DELEGATED REGULATION (EU) No …/.. of XXX supplementing Regulation (EU) No 575/2013 of the European Parliament and of the Council with regard to regulatory technical standards for the specification of the assessment methodology competent authorities shall follow in assessing the compliance of an institution with the requirements to use the IRB Approach in accordance with Articles 144(2), 173(3) and 180(3)(b) of Regulation (EU) No 575/2013 (Text with EEA relevance) THE EUROPEAN COMMISSION, Having regard to the Treaty on the Functioning of the European Union, Having regard to Regulation (EU) No 575/2013 of the European Parliament and of the Council of 26 June 2013 on prudential requirements for credit institutions and investment firms and amending Regulation (EU) No 648/2012 , and in particular the third subparagraph of Article 144(2), the third subparagraph of Article 173(3) and the third subparagraph of Article 180(3) thereof, Whereas:"
,,,"(1) The requirement, in Regulation (EU) No 575/2013 for competent authorities to assess the compliance of an institution with the requirements to use the IRB Approach is general, in that relates to all of the requirements for the use of the IRB Approach, irrespective of their degree of materiality, and implies compliance with the requirements at all times. As a result, such an assessment does not only relate to the initial application of an institution for the permission to use the rating systems in accordance with Articles 143(1), 151(4) and (9) of Regulation (EU) No 575/2013, but also applies to: the assessment of any additional applications of an institution for the permission to use the rating systems implemented according to the institution's approved plan of sequential implementation of the IRB Approach as referred to in Article 148 of that Regulation; the assessment of the application for material changes to the internal approaches that the institution has received permission to use in accordance with Article 143(3) of that Regulation and Commission Delegated Regulation (EU) No 529/2014 ; to the assessment of application to return to the use of less sophisticated approaches in accordance with Article 149 of that Regulation; to the ongoing review of the IRB Approach that the institution has received permission to use in accordance with Article 101(1) of Directive 2013/36/EU ; and to changes to the IRB Approach that require notification in accordance with Article 143(4) of Regulation (EU) No 575/2013 and Delegated Regulation (EU) No 529/2014. Competent authorities should apply the same criteria to all of these particular aspects of the assessment of compliance with the requirements to use the IRB Approach, hence the rules that set out that assessment methodology should apply to all of the above cases, in order to ensure harmonisation of assessment methodologies by competent authorities and mitigate regulatory arbitrage."
,,,"(2) Based on the need to ensure consistency around the Union with regard to the assessment of the IRB Approach, it is necessary that competent authorities embed the same methods for that assessment in their practices. As a result, it is necessary to identify such a set of core methods to be applied by all competent authorities. Nevertheless, given the nature of the model assessment and the diversity and particularities in the models, competent authorities should be allowed to exercise supervisory judgement in the application of these methods. Further, in certain cases such as where recent assessments, which are based on the core methods, have been made for similar rating systems in the same class of exposures, it would be appropriate to use the results of such assessments, rather than repeat them, where, in the competent authorities' supervisory judgement, those remain materially unchanged. This would ensure avoiding complexity, unnecessary burden and duplication of work where such an assessment has been performed previously by the competent authority."
,,,"(3) In such cases as referred above, where competent authorities assess the compliance of an institution with the requirements to use the IRB Approach, other than the initial application for permission by institutions, given that the assessment relates to a particular scope of application of the IRB Approach, competent authorities should apply only and all of those rules that are relevant to the scope of the assessment by the competent authority in each case using the conclusions from the former assessments as the starting point."
,,,"(4) Where the assessment relates to applications for the permissions referred to in Article 20(1)(a) of Regulation (EU) No 575/2013, the regulatory technical standards referred to in paragraph 8 of that Article in relation to the joint decision process apply."
,,,"(5) Article 144(2) of Regulation (EU) No 575/2013 refers to the assessment of compliance with the requirements of that Regulation in their entirety, and at all times. In that context competent authorities are required to verify compliance of institutions with the specific regulatory requirements, as well as evaluate the overall quality of the solutions, systems and approaches implemented by an institution, and request constant improvements and adaptations to changed circumstances in order to achieve continuous compliance with the requirements of the IRB Approach. With that in mind, such an assessment inevitably involves, to a large extent, a subjective judgement by competent authorities. Hence rules for the assessment methodology on one hand should allow the possibility for competent authorities to exercise their discretion as provided in Regulation (EU) No 575/2013 by carrying out additional checks to those specified therein, as necessary and on the other should ensure harmonisation and comparability of supervisory practices across different jurisdictions. For the same reasons, competent authorities should avail of the flexibility necessary to apply the most appropriate method or methods for verifying particular requirements, depending, among others, on the materiality of the types of exposures covered by each rating system, the complexity of the models, the particularities of the situation, the specific solution implemented by the institution, the quality of evidence provided by the institution, the resources available to the competent authorities themselves. Further, and for the same reasons, competent authorities should be able to carry out additional tests and verifications which might be necessary in case of doubts regarding the fulfilment of the requirements of the IRB Approach, and in order to be able to apply the assessment methodology in accordance with the principle of proportionality, which is a general principle of EU law, and hence depending on the nature, size and complexity of an institution's business and structure."
,,,"(6) In order to ensure consistency and comprehensiveness of the assessment of the overall IRB Approach, in the case of subsequent requests for permission on the basis of the approved sequential implementation plan of an institution, competent authorities should base their assessment by applying at least the rules on the use and experience test, assignment to grades or pools, rating systems and risk quantification, as these aspects of the assessment relate to every individual rating system of the IRB Approach."
,,,"(7) In order to assess the adequacy of the application of the IRB Approach all rating systems and related processes have to be verified, where there is delegation by an institution to a third party of tasks, activities or functions related to the design, implementation and validation of rating systems, or obtaining a rating system or pooled data from a third party vendor. In particular adequate controls have to be implemented at the institution and full documentation should be available; further as the management body of the institution is ultimately responsible for the delegated processes and the performance of rating systems obtained from a third party vendor, sufficient in-house understanding needs to be ensured. As a result of the above, all tasks, activities and functions that have been delegated, including the rating systems obtained from the third party vendors have to be assessed by competent authorities in a manner similar to the cases where the IRB Approach has been developed fully via internal processes of the institution."
,,,"(8) In order to avoid misuse of the rules on the sequential implementation of the IRB Approach that could lead to the creation of a quasi permanent partial use of the Standardised Approach, a deadline for the implementation of the so-called 'roll-out plan' is necessary, as well as a limitation of possible changes to the roll-out plan. All exposures covered by the roll-out plan need to have a defined and reasonable maximum timeframe for implementation of the IRB Approach."
,,,"(9) It is important to ensure the independence of the validation function from the credit risk control unit in order to allow for an objective assessment of the rating systems, a limited incentive to disguise the model deficiencies and weaknesses, as well as a fresh view on the rating systems by people not involved in the development process. On the other hand, since both in the credit risk control unit as well as in the validation unit highly qualified staff is required, full independence between the two units might be too burdensome for smaller institutions. As a result of the above, competent authorities should verify that an adequate level of independence is in place, based on the proportionality principle."
