Section,Topic,Paragraph
1 Compliance and reporting obligations,,
,Status of these guidelines,
,,"1. This document contains guidelines issued pursuant to Article 16 of Regulation (EU) No 1093/2010. In accordance with Article 16(3) of Regulation (EU) No 1093/2010, competent authorities and financial institutions must make every effort to comply with the guidelines."
,,"2. Guidelines set the EBA view of appropriate supervisory practices within the European System of Financial Supervision or of how Union law should be applied in a particular area. Competent authorities as defined in Article 4(2) of Regulation (EU) No 1093/2010 to whom guidelines apply should comply by incorporating them into their practices as appropriate (e.g. by amending their legal framework or their supervisory processes), including where guidelines are directed primarily at institutions."
,Reporting requirements,
,,"3. According to Article 16(3) of Regulation (EU) No 1093/2010, competent authorities must notify the EBA as to whether they comply or intend to comply with these guidelines, or otherwise with reasons for non-compliance, by ([dd.mm.yyyy]). In the absence of any notification by this deadline, competent authorities will be considered by the EBA to be non-compliant. Notifications should be sent by submitting the form available on the EBA website to compliance@eba.europa.eu with the reference 'EBA/GL/2019/03'. Notifications should be submitted by persons with appropriate authority to report compliance on behalf of their competent authorities. Any change in the status of compliance must also be reported to EBA."
,,"4. Notifications will be published on the EBA website, in line with Article 16(3)."
"2 Subject matter, scope and definitions",,
,Subject matter,
,,"5. These guidelines specify the requirements for the estimation of loss given default (LGD) appropriate for an economic downturn in accordance with Part Three, Title II, Chapter 3, Section 6 of Regulation (EU) No 575/2013, Article 181 of that Regulation and the EBA final draft regulatory technical standards on the IRB assessment methodology EBA/RTS/2016/03 [RTS on IRB assessment methodology] of 21 July 2016 as well as EBA final draft regulatory standards on the specification of an economic downturn EBA /RTS/2018/04 [RTS on economic downturn] of 16 November 2018. These guidelines should be considered as an amendment of EBA on PD estimation, LGD estimation and the treatment of defaulted exposures EBA/GL/2017/16 [EBA GL on PD and LGD] published on 20 November 2017."
,Scope of application,
,,"6. These guidelines apply in relation to the IRB Approach in accordance with Part Three, Title II, Chapter 3 of Regulation (EU) No 575/2013 for all methods based on own estimates of LGD. The use of own estimates of LGD appropriate for an economic downturn, in accordance with these guidelines, is subject to supervisory approval in accordance with Article 144 of Regulation (EU) No 575/2013. These guidelines do not apply to the calculation of own funds requirements for dilution risk in accordance with Article 157 of Regulation (EU) No 575/2013."
,Addressees,
,,7. These guidelines are addressed to competent authorities as defined in point (i) of Article 4(2) of Regulation (EU) No 1093/2010 and to financial institutions as defined in Article 4(1) of Regulation (EU) No 1093/2010.
,Definitions,
,,"8. Unless otherwise specified, terms used and defined in in Regulation (EU) No 575/2013 and Directive 2013/36/EU and in [EBA GL on PD and LGD] have the same meaning in the guidelines. In addition, for the purposes of these guidelines, the following definitions apply: Quantification of downturn LGD: Quantification of downturn LGD covers all elements of the quantification of downturn LGD including the quantification of the calibration target, the quantification of the resulting downturn LGD estimates at grade and pool level and the quantification of the margin of conservatism (MoC). Calibration of downturn LGD: The term calibration of downturn LGD in the context of these guidelines refers to the quantification of the calibration target at the relevant level. Downturn LGD estimates: These are the LGD estimates appropriate for an economic downturn at the grade or pool level after calibration but before the application of MoC."
3 Implementation,,
,Date of application,
,,"9. These guidelines apply from 1 January 2021. Institutions should incorporate the requirements of these guidelines in their rating systems by that time, but competent authorities may accelerate the timeline of this transition at their discretion."
,First application of these Guidelines,
,,"10. The internal validation function of institution should verify the changes which are applied to the rating systems as a result of the application of these guidelines, consistently with EBA final draft regulatory technical standards on the IRB assessment methodology EBA/RTS/2016/03 [RTS on IRB assessment methodology] of 21 July 2016 and the classification of the changes in accordance with Commission Delegated Regulation (EU) No 529/201411."
,,11. Institutions that need to obtain prior permission from competent authorities in accordance with Article 143(3) of Regulation (EU) No 575/2013 and Regulation (EU) No 529/2014 for the changes in the rating systems required to incorporate these guidelines for the first time by the deadline referred to in paragraph 9 should agree with their competent authorities the final deadline for submitting the application for such prior permission.
,,"12. Prior to the application of these guidelines, institutions need to identify the relevant downturn periods for the type of exposure under consideration in accordance with EBA submitted [RTS on economic downturn]. The guidelines will be adapted, where relevant, when the RTS on economic downturn are published in their final version in the OJ."
4 General requirements on downturn,,
,LGD estimation,
,,"13. For the purpose of quantifying LGDs that are appropriate for an economic downturn, institutions should apply all definitions and all requirements set out in Section 4, Section 6, Section 7, Section 8 and Section 9 of the EBA Guidelines on PD estimation, LGD estimation and the treatment of defaulted exposures (EBA/GL/2017/16) of 20/11/2017 (EBA GL on PD and LGD estimation) that are relevant for this purpose."
,,"14. In addition to paragraph 13, for the purpose of quantifying downturn LGD institutions should apply the following requirements specific to downturn LGD estimates by facility grade or pool: (a) calibrate downturn LGD at least at the same level at which institutions calculate the corresponding long-run average LGD for the purpose of calibrating LGD in accordance with paragraph 161 of the [EBA GL on PD and LGD estimation]."
,,"(b) split the set of facilities covered by the same LGD model into as many different calibration segments as needed where each calibration segment carries a significantly different loss profile and might thus be affected differently by different downturn periods; for this purpose, institutions should at least consider the appropriateness of introducing calibration segments that cover material shares of exposure in different geographical areas, in different industry sectors and, for retail exposures, of different product types;"
,,15. Where institutions identify multiple downturn periods in accordance with the final draft
,,"RTS on economic downturn submitted by EBA [RTS on economic downturn], (a) they should perform each of the steps in the following sequence: (i) calibrate downturn LGD for each identified downturn period in accordance with Section 4.3 for each calibration segment; (ii) for each of those downturn periods, apply the resulting downturn LGD estimates to their current non-defaulted exposures of the type of exposures under consideration and at the time of calibration; (iii) choose the period as finally relevant downturn period that results in the highest average downturn LGD, including final MoC as set out in paragraph 45 of the [EBA GL on PD and LGD estimation], on a considered calibration segment of their current non-defaulted exposures as referred to in (ii). Institutions should then use the resulting downturn LGDs based on the finally relevant downturn period for each calibration segment to comply with paragraph 181 (b) CRR."
,,(iv) in case that institutions can calibrate downturn LGD in accordance with Section
,,"5 or Section 6 for at least one downturn period but they are unable to quantify downturn LGD in accordance with Section 5 or Section 6 for one or several other downturn periods, consider only the estimates based on Section 5 or Section 6, and add appropriate Category A MoC in accordance with paragraph 37(a) of "
,,[EBA GL on PD and LGD estimation] to the final downturn LGD estimates to cover for the downturn periods where sufficient and relevant loss data to assess or estimate the impact is not available;
,,"(b) In derogation to paragraph 15(a)(i), institutions do not need to provide a calibration of downturn LGD for a considered calibration segment for downturn periods identified in accordance with the [RTS on economic downturn] where institutions can provide evidence that the according economic factors are not relevant for the considered calibration segment."
,,4.1 Requirements that apply to the final downturn LGD estimates
,,"16. For the purpose of ensuring that the resulting downturn LGDs are used if they are more conservative than the according long-run average LGDs in line with Article 181(1)(b) of Regulation (EU) No 575/2013, institutions should apply the following:"
,,(a) where institutions use separate estimation methodologies for long-run average
,,"LGD and downturn LGD, compare their final downturn LGDs used for calibration plus the according final MoC as set out in paragraph 45 of the [EBA GL on PD and LGD estimation], to their long-run average LGDs plus the according final MoC as set out in paragraph 45 of the [EBA GL on PD and LGD estimation] at the level where the long-run average LGD is calculated for the purpose of calibrating LGD in accordance with paragraph 161 of the [EBA GL on PD and LGD estimation]; (b) where institutions set a single LGD estimate, which involves a long-run average LGD estimation and a downturn adjustment added to the long-run average LGD estimation, they should ensure that the final MoC as set out in paragraph 45 of the [EBA GL on PD and LGD estimation] on the downturn LGD estimates encompasses the uncertainties stemming from both the long-run average LGD estimation and the calculation of the downturn adjustment."
,,"17. For models with risk drivers sensitive to the economic cycle, institutions should ensure that the resulting downturn LGD estimates are not unduly sensitive to changes in economic cycle. For this purpose, institutions should do all of the following: (a) analyse the difference between the distribution of exposures over facility grades or pools, or over appropriate intervals in case of continuous facility scales, of the current portfolio and the likely distribution of the current portfolio impacted by the relevant downturn period selected in accordance with paragraph 15, (b) if there is a substantial difference as a result of the analysis in (a), institutions should apply an adjustment to their downturn LGD estimates to limit the capital impact of an economic downturn in accordance with Article 181(1)(b) of Regulation (EU) No 575/2013."
,,18. Institutions should compare the final downturn LGD with the reference value calculated in accordance with Section 8 on the according RDS and calculated at least at the level of calibration segments. Institutions should justify any material difference between the final downturn LGD and the reference value.
,,"19. When comparing the final downturn LGD with the reference value in line with paragraph 18, institutions should take into account all of the following:"
,,"(a) A material difference between the final downturn LGD plus final MoC as set out in paragraph 45 of the [EBA GL on PD and LGD estimation](s) and the reference value can be justified if the period of losses identified by the reference value does not stem from a - potentially unidentified - downturn period or if the difference is due to the minimum MoC requirement in paragraph 36(b) where the downturn LGD is based on the methodology in Section 7. In case that the underlying downturn LGD is based on the methodology in Section 5, institutions may use the evidence gathered from the impact assessment in paragraph 27."
,,"(b) If the material difference between the final downturn LGD and the reference value cannot be justified, institutions should re-assess their quantification of downturn LGD ensuring in particular that the downturn periods have been identified comprehensively and that, where intermediate parameters are used, the impact of the relevant downturn period observed (based on Section 5) or estimated (based on Section 6) on intermediate parameters has been aggregated adequately. After the institution has re-assessed its quantification of downturn LGD, and the methodology is assessed to be adequate, a material difference from the reference value can be explained."
,,4.2 Downturn LGD estimation for defaulted exposures
,,"20. For downturn LGD estimation for defaulted exposures, institutions should use the same downturn period as identified for the corresponding non-defaulted exposures."
,,"21. For downturn LGD estimation for defaulted exposures for the downturn period referred to in paragraph 20, institutions should comply with all of the following:"
