Section,Subsection,Subsubsection,Topic,Paragraph
,,,,"GUIDELINES ON PD ESTIMATION, LGD ESTIMATION AND TREATMENT DEFAULTED EXPOSURES"
1 Compliance and reporting obligations,,,,
,,,Status of these guidelines,
,,,,"1. This document contains guidelines issued pursuant to Article 16 of Regulation (EU) No 1093/2010. In accordance with Article 16(3) of Regulation (EU) No 1093/2010, competent authorities and financial institutions must make every effort to comply with the guidelines."
,,,,"2. Guidelines set out the EBA's view of appropriate supervisory practices within the European System of Financial Supervision or of how Union law should be applied in a particular area. Competent authorities as defined in Article 4(2) of Regulation (EU) No 1093/2010 to whom guidelines apply should comply by incorporating them into their practices as appropriate (e.g. by amending their legal framework or their supervisory processes), including where guidelines are directed primarily at institutions."
,,,Reporting requirements,
,,,,"3. In accordance with Article 16(3) of Regulation (EU) No 1093/2010, competent authorities must notify the EBA as to whether they comply or intend to comply with these guidelines, or otherwise give reasons for non-compliance, by ([dd.mm.yyyy]). In the absence of any notification by this deadline, competent authorities will be considered by the EBA to be non-compliant. Notifications should be sent by submitting the form available on the EBA website to compliance@eba.europa.eu with the reference 'EBA/GL/201x/xx'. Notifications should be submitted by persons with appropriate authority to report compliance on behalf of their competent authorities. Any change in the status of compliance must also be reported to the EBA."
,,,,"4. Notifications will be published on the EBA website, in line with Article 16(3)."
"2 Subject matter, scope and definitions",,,,
,2.1 Subject matter,,,
,,,,"5. These guidelines specify the requirements for the estimation of probability of default (PD) and loss given default (LGD), including LGD for defaulted exposures (LGD in-default) and best estimate of expected loss (ELBE) in accordance with Part Three, Title II, Chapter 3, Section 6 of Regulation (EU) No 575/2013, Article 159 of that Regulation and the EBA final draft regulatory technical standards on the IRB assessment methodology EBA/RTS/2016/03 [RTS on IRB assessment methodology] of 21 July 2016."
,2.2 Scope of application,,,
,,,,"6. These guidelines apply in relation to the IRB Approach in accordance with Part Three, Title II, Chapter 3 of Regulation (EU) No 575/2013 for all methods based on own estimates of PD and LGD. Where, for exposures other than retail, an institution has received permission to use the IRB Approach but has not received permission to use own estimates of LGD in accordance with Article 143(2) in conjunction with Article 151(8) to (9) of that Regulation, all parts of these guidelines apply, except Chapters 6 and 7. These guidelines do not apply to the calculation of own funds requirements for dilution risk in accordance with Article 157 of Regulation (EU) No 575/2013."
,2.3 Addressees,,,
,,,,7. These guidelines are addressed to competent authorities as defined in point (i) of Article 4(2) of Regulation (EU) No 1093/2010 and to financial institutions as defined in Article 4(1) of Regulation (EU) No 1093/2010.
,2.4 Definitions,,,
,,,,"8. Unless otherwise specified, terms used and defined in Regulation (EU) No 575/2013 and Directive 2013/36/EU have the same meaning in these guidelines. In addition, for the purposes of these guidelines, the following definitions apply: Risk parameters: One or all of the following: PD, LGD, ELBE and LGD in-default. Reference data set (RDS): All the datasets used for the purpose of estimation of risk. parameters, including the datasets relevant for model development as well as the datasets used for calibration of a risk parameter. PD model: All data and methods used as part of a rating system within the meaning of Article 142(1) point (1) of Regulation (EU) No 575/2013, which relate to the differentiation and quantification of own estimates of PD and which are used to assess the default risk for each obligor or exposure covered by that model. Ranking method of a PD model: The method, forming part of a PD model, used to rank the obligors or exposures with respect to the risk of a default. Scoring method of a PD model: A ranking method of a PD model which assigns ordinal values ('scores') to rank obligors or exposures. LGD model: All data and methods used as part of a rating system within the meaning of Article 142(1) point (1) of Regulation (EU) No 575/2013, which relate to the differentiation and quantification of own estimates of LGD, LGD in-default and ELBE and which are used to assess the level of loss in the case of default for each facility covered by that model. ELBE: Expected loss best estimate for defaulted exposures as referred to in Article 181(1)(h) of Regulation (EU) No 575/2013. LGD in-default: Loss given default for defaulted exposures as referred to in Article 181(1)(h) of Regulation (EU) No 575/2013. Scope of application of a PD or LGD model: The type of exposures in the meaning of point (2) of Article 142(1) of Regulation (EU) No 575/2013 covered by a PD model or an LGD model. Estimation of risk parameters: The full modelling process related to the risk parameters including the selection and preparation of data, model development and calibration. Model development: The part of the process of the estimation of risk parameters that leads to an appropriate risk differentiation by specifying relevant risk drivers, building statistical or mechanical methods to assign exposures to obligor or facility grades or pools, and estimating intermediate parameters of the model, where relevant. PD calibration sample: The data set on which the ranking or pooling method is applied in order to perform the calibration. Calibration segment: A uniquely identified subset of the scope of application of the PD or LGD model which is jointly calibrated.  PD calibration: The part of the process of the estimation of risk parameters which leads to appropriate risk quantification by ensuring that when the PD ranking or pooling method is applied to a calibration sample, the resulting PD estimates correspond to the long-run average default rate at the level relevant for the applied method. LGD calibration: The part of the process of the estimation of risk parameters which leads to appropriate risk quantification by ensuring that the LGD estimates correspond to the long-run average LGD, or to the downturn LGD estimate where this is more conservative, at the level relevant for the applied method. Application of risk parameters: The assignment of risk parameters estimated in accordance with the PD or LGD model to the current exposures, performed either automatically with the use of a relevant IT system or manually by qualified personnel of an institution. Application portfolio: The actual portfolio of exposures within the scope of application of the PD or LGD model at the time of the estimation of a risk parameter."
3 Implementation,,,,
,3.1 Date of application,,,
,,,,"9. These guidelines apply from 1 January 2021. Institutions should incorporate the requirements of these guidelines in their rating systems by that time, but competent authorities may accelerate the timeline of this transition at their discretion."
,3.2 First application of the Guidelines,,,
,,,,"10. The internal validation function should verify the changes which are applied to the rating systems as a result of the application of these guidelines and the regulatory technical standards to be developed in accordance with Article 144(2) of Regulation (EU) No 575/2013, and the classification of the changes in accordance with Commission Delegated Regulation (EU) No 529/2014."
,,,,11. Institutions that need to obtain prior permission from competent authorities in accordance with Article 143(3) of Regulation (EU) No 575/2013 and Regulation (EU) No 529/2014 for the changes in the rating systems required to incorporate these guidelines for the first time by the deadline referred to in paragraph 9 should agree with their competent authorities the final deadline for submitting the application for such prior permission.
4 General estimation requirements,,,,
,4.1 Principles for specifying the range of application of the rating systems,,,
,,,,12. A rating system in the sense of point (1) of Article 142(1) of Regulation (EU) No 575/2013 should cover all those exposures where the obligors or facilities show common drivers of risk and credit-worthiness and fundamentally comparable availability of credit-related information. The PD and LGD model within a rating system may comprise various calibration segments. Where all obligors or exposures within the range of application of the PD or LGD model are jointly calibrated the whole scope of application of the model is considered one calibration segment.
,,,,"13. Exposures covered by the same rating system should be treated similarly by the institution in terms of risk management, decision making and credit approval process and should be assigned to a common obligor rating scale for the purposes of Article 170(1)(b) of Regulation (EU) No 575/2013 and a common facility rating scale for the purposes of Article 170(1)(e) of that Regulation."
,,,,"14. For the purpose of quantification of various risk parameters within a rating system, institutions should apply the same definition of default for the same historical observations used in different models. Institutions should also apply the same treatment of multiple defaults of the same obligor or exposure across internal, external and pooled data sources."
,4.2 Data requirements,,,
,,4.2.1 Quality of data,,
